NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
A320-270N,PNLTM,D,25000,119.7,112.0,106.6,100.9,91.2,80.5,72.7,63.8,54.5,44.4
A320-270N,PNLTM,D,30000,121.3,113.4,108.0,102.1,92.5,82.3,75.2,67.6,56.7,46.9
A320-270N,SEL,A,1500,91.1,87.1,84.2,81.1,75.9,69.6,64.7,59.1,52.6,45.5
A320-270N,SEL,A,3000,91.8,87.8,84.9,81.7,76.5,70.2,65.4,59.7,53.0,45.7
A320-270N,SEL,A,4500,92.9,88.7,85.7,82.5,77.3,71.0,66.2,60.6,54.0,46.7
A320-270N,SEL,A,9000,95.3,91.0,87.9,84.7,79.3,73.0,68.2,62.5,55.6,48.1
A320-270N,SEL,D,10000,95.6,91.1,87.9,84.5,79.1,72.7,67.8,61.9,54.9,47.3
A320-270N,SEL,D,15000,97.7,93.0,89.9,86.5,81.0,74.8,69.9,64.3,57.6,50.6
A320-270N,SEL,D,20000,99.9,95.3,92.1,88.9,83.8,77.8,73.2,67.8,61.4,54.6
A320-270N,SEL,D,25000,102.9,98.0,95.0,91.6,86.4,80.6,76.1,70.9,64.8,58.3
A320-270N,SEL,D,30000,104.1,99.3,96.3,93.0,87.7,81.9,77.6,72.5,66.5,60.1
A321-270N,EPNL,A,2000,95.4,90.7,87.3,83.2,77.2,69.5,63.9,57.1,48.5,37.7
A321-270N,EPNL,A,5000,99.1,94.3,90.6,86.4,79.9,72.2,66.6,60.0,51.2,40.4
A321-270N,EPNL,A,8000,99.8,94.9,91.2,86.9,80.3,72.5,66.9,60.4,51.2,41.2
A321-270N,EPNL,A,9000,100.8,96.1,92.3,88.0,81.2,73.2,67.5,60.9,52.0,42.1
A321-270N,EPNL,D,11000,101.6,96.6,92.9,88.6,81.5,73.4,67.7,61.1,52.5,42.5
A321-270N,EPNL,D,16000,104.0,99.0,95.3,91.0,84.1,76.1,70.8,64.4,56.7,48.6
A321-270N,EPNL,D,19000,104.8,99.4,95.9,91.6,85.3,77.9,72.6,66.4,58.9,50.5
A321-270N,EPNL,D,23000,106.2,101.4,97.8,93.7,87.2,79.8,74.8,68.7,61.6,53.5
A321-270N,EPNL,D,28000,106.5,101.8,98.2,94.2,88.3,80.8,75.8,69.8,62.5,54.0
A321-270N,LAmax,A,2000,88.2,82.4,78.1,73.5,65.9,57.5,51.4,44.6,37.0,29.4
A321-270N,LAmax,A,5000,91.2,85.0,80.6,75.8,68.0,59.3,53.1,46.1,38.3,30.3
A321-270N,LAmax,A,8000,92.1,85.8,81.2,76.3,68.4,59.6,53.3,46.3,38.5,30.6
A321-270N,LAmax,A,9000,93.1,87.0,82.3,77.2,69.2,60.4,54.1,46.9,39.0,31.0
A321-270N,LAmax,D,11000,94.0,87.4,82.8,77.7,69.6,60.7,54.4,47.2,39.2,31.1
A321-270N,LAmax,D,16000,96.6,90.0,85.3,80.3,72.3,63.5,57.0,49.8,41.6,33.5
A321-270N,LAmax,D,19000,97.3,90.7,86.3,81.4,73.6,64.9,58.4,51.1,42.9,34.9
A321-270N,LAmax,D,23000,99.1,92.8,88.4,83.5,75.5,66.8,60.4,53.1,45.0,36.9
A321-270N,LAmax,D,28000,99.5,93.4,89.0,84.2,76.3,67.7,61.3,54.0,45.8,37.5
A321-270N,SEL,A,2000,92.4,88.3,85.4,82.2,76.8,70.4,65.6,60.1,53.8,47.5
A321-270N,SEL,A,5000,95.5,91.2,88.3,84.9,79.5,73.0,68.1,62.5,55.9,49.1
A321-270N,SEL,A,8000,96.2,91.8,88.7,85.3,79.7,73.2,68.3,62.6,56.1,49.4
A321-270N,SEL,A,9000,97.2,92.9,89.6,86.1,80.4,73.9,68.9,63.2,56.7,50.0
A321-270N,SEL,D,11000,97.8,93.2,89.9,86.4,80.5,73.8,69.0,63.4,56.9,50.4
A321-270N,SEL,D,16000,99.9,95.3,92.1,88.5,82.9,76.6,71.8,66.4,60.1,53.7
A321-270N,SEL,D,19000,100.4,95.8,92.7,89.3,84.0,78.0,73.3,67.9,61.7,55.4
A321-270N,SEL,D,23000,101.7,97.4,94.3,91.0,85.6,79.6,75.1,69.8,63.8,57.7
A321-270N,SEL,D,28000,102.2,98.0,95.0,91.8,86.6,80.6,76.1,70.9,64.7,58.3
A321-270N,PNLTM,A,2000,101.3,94.9,90.1,84.6,76.8,67.1,60.4,52.6,43.3,32.8
A321-270N,PNLTM,A,5000,104.6,97.9,92.8,87.1,78.6,68.7,61.9,54.1,44.7,34.0
A321-270N,PNLTM,A,8000,105.6,98.8,93.6,88.5,79.7,69.7,62.8,55.0,45.0,35.9
A321-270N,PNLTM,A,9000,106.6,100.1,94.8,88.9,80.3,70.3,63.3,55.9,45.8,36.6
A321-270N,PNLTM,D,11000,107.7,100.9,95.7,89.9,80.6,70.2,63.3,55.4,46.2,36.6
