ACFT_ID,Profile_ID,Stage Length,Step Number,Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),Rate Of Climb (ft/min),End Point CAS (kt),Accel Percentage (%)
A320-270N,ICAO_B,4,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,4,6,Accelerate,MaxClimb,D_ZERO,,1669.7,250.0,
A320-270N,ICAO_B,4,7,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,5,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,5,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,5,3,Accelerate,MaxTakeoff,D_1+F_U,,1352.8,207.4,
A320-270N,ICAO_B,5,4,Accelerate,MaxTakeoff,D_1_U,,1476.8,221.6,
A320-270N,ICAO_B,5,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,5,6,Accelerate,MaxClimb,D_ZERO,,1536.7,250.0,
A320-270N,ICAO_B,5,7,Climb,MaxClimb,D_ZERO,10000,,,
A320-270N,ICAO_B,M,1,Takeoff,MaxTakeoff,D_1+F_D,,,,
A320-270N,ICAO_B,M,2,Climb,MaxTakeoff,D_1+F_U,1000,,,
A320-270N,ICAO_B,M,3,Accelerate,MaxTakeoff,D_1+F_U,,1280.1,211.9,
A320-270N,ICAO_B,M,4,Accelerate,MaxTakeoff,D_1_U,,1398.6,225.1,
A320-270N,ICAO_B,M,5,Climb,MaxClimb,D_1_U,3000,,,
A320-270N,ICAO_B,M,6,Accelerate,MaxClimb,D_ZERO,,1455.2,250.0,
A320-270N,ICAO_B,M,7,Climb,MaxClimb,D_ZERO,10000,,,
A321-270N,ICAO_A,1,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,1,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,1,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,1,4,Accelerate,MaxClimb,D1+FU,,1399.6,198.7,60
A321-270N,ICAO_A,1,5,Accelerate,MaxClimb,D1U,,1516.6,214.8,60
A321-270N,ICAO_A,1,6,Accelerate,MaxClimb,DZERO,,1676.0,238.4,60
A321-270N,ICAO_A,1,7,Accelerate,MaxClimb,DZERO,,1816.9,250.0,60
A321-270N,ICAO_A,1,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_A,2,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,2,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,2,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,2,4,Accelerate,MaxClimb,D1+FU,,1342.5,202.1,60
A321-270N,ICAO_A,2,5,Accelerate,MaxClimb,D1U,,1455.6,217.3,60
A321-270N,ICAO_A,2,6,Accelerate,MaxClimb,DZERO,,1607.6,239.7,60
A321-270N,ICAO_A,2,7,Accelerate,MaxClimb,DZERO,,1742.2,250.0,60
A321-270N,ICAO_A,2,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_A,3,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,3,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,3,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,3,4,Accelerate,MaxClimb,D1+FU,,1287.0,205.5,60
A321-270N,ICAO_A,3,5,Accelerate,MaxClimb,D1U,,1395.9,219.9,60
A321-270N,ICAO_A,3,6,Accelerate,MaxClimb,DZERO,,1541.3,241.1,60
A321-270N,ICAO_A,3,7,Accelerate,MaxClimb,DZERO,,1669.6,250.0,60
A321-270N,ICAO_A,3,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_A,4,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,4,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,4,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,4,4,Accelerate,MaxClimb,D1+FU,,1195.1,211.4,60
A321-270N,ICAO_A,4,5,Accelerate,MaxClimb,D1U,,1297.7,224.4,60
A321-270N,ICAO_A,4,6,Accelerate,MaxClimb,DZERO,,1432.4,243.8,60
A321-270N,ICAO_A,4,7,Accelerate,MaxClimb,DZERO,,1550.4,250.0,60
A321-270N,ICAO_A,4,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_A,5,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,5,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,5,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,5,4,Accelerate,MaxClimb,D1+FU,,1087.3,218.8,60
A321-270N,ICAO_A,5,5,Accelerate,MaxClimb,D1U,,1182.2,230.3,60
A321-270N,ICAO_A,5,6,Accelerate,MaxClimb,DZERO,,1305.0,247.6,60
A321-270N,ICAO_A,5,7,Accelerate,MaxClimb,DZERO,,1409.6,250.0,60
A321-270N,ICAO_A,5,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_A,M,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_A,M,2,Climb,MaxTakeoff,D1+FU,1500,,,
A321-270N,ICAO_A,M,3,Climb,MaxClimb,D1+FU,3000,,,
A321-270N,ICAO_A,M,4,Accelerate,MaxClimb,D1+FU,,946.2,224.0,60
A321-270N,ICAO_A,M,5,Accelerate,MaxClimb,D1U,,1031.1,233.8,60
A321-270N,ICAO_A,M,6,Accelerate,MaxClimb,DZERO,,1138.6,248.7,60
A321-270N,ICAO_A,M,7,Accelerate,MaxClimb,DZERO,,1232.5,250.0,60
A321-270N,ICAO_A,M,8,Climb,MaxClimb,DZERO,10000,,,
A321-270N,ICAO_B,1,1,Takeoff,MaxTakeoff,D1+FD,,,,
A321-270N,ICAO_B,1,2,Climb,MaxTakeoff,D1+FU,1000,,,
A321-270N,ICAO_B,1,3,Accelerate,MaxTakeoff,D1+FU,,1790.7,198.8,60
A321-270N,ICAO_B,1,4,Accelerate,MaxTakeoff,D1U,,1921.3,220.2,60
A321-270N,ICAO_B,1,5,Climb,MaxClimb,DZERO,3000,,,
A321-270N,ICAO_B,1,6,Accelerate,MaxClimb,DZERO,,1825.4,250.0,60
A321-270N,ICAO_B,1,7,Climb,MaxClimb,DZERO,10000,,,
